frame,id,class,conf,speed_kph
94,49,car,0.5,10
95,25,car,0.58,24
95,27,car,0.6,28
95,43,cell phone,0.8,37
95,48,truck,0.4,42
95,49,car,0.52,8
96,25,car,0.46,24
96,27,car,0.65,23
96,43,cell phone,0.82,39
96,48,truck,0.42,49
96,49,car,0.37,9
97,27,car,0.67,23
97,43,cell phone,0.73,35
97,48,car,0.6,37
97,49,car,0.12,7
98,27,car,0.71,18
98,43,cell phone,0.74,36
98,48,car,0.57,39
98,49,cell phone,0.5,10
98,52,truck,0.52,0
98,25,car,0.32,14
99,27,car,0.7,24
99,43,cell phone,0.34,36
99,48,car,0.6,47
99,49,cell phone,0.64,33
99,52,bus,0.36,43
100,27,car,0.71,27
100,43,cell phone,0.3,32
100,48,bus,0.34,41
100,49,cell phone,0.64,46
100,52,car,0.36,44
101,27,car,0.68,22
101,43,cell phone,0.38,32
101,48,bus,0.32,37
101,49,cell phone,0.67,49
101,52,truck,0.3,37
102,27,car,0.62,19
102,43,car,0.26,32
102,48,bus,0.42,36
102,49,cell phone,0.86,49
102,52,truck,0.27,42
103,27,car,0.68,22
103,43,cell phone,0.2,34
103,48,truck,0.26,47
103,49,cell phone,0.63,52
103,52,bus,0.36,48
104,27,car,0.61,19
104,43,cell phone,0.33,30
104,48,truck,0.27,39
104,49,cell phone,0.86,48
104,52,bus,0.43,36
105,27,car,0.58,16
105,43,car,0.44,33
105,48,truck,0.26,39
105,49,cell phone,0.57,47
105,52,bus,0.7,38
106,27,car,0.66,20
106,43,car,0.29,31
106,49,car,0.42,45
107,27,car,0.65,24
107,43,car,0.31,29
107,49,car,0.34,45
107,48,bus,0.71,34
108,27,car,0.72,21
108,43,car,0.64,29
108,49,car,0.55,39
108,48,bus,0.51,32
109,27,car,0.78,22
109,43,car,0.58,33
109,49,car,0.44,44
109,48,bus,0.56,44
110,27,car,0.66,21
110,43,car,0.62,31
110,49,car,0.66,39
110,48,bus,0.56,38
110,61,truck,0.44,0
111,27,car,0.7,18
111,43,car,0.47,27
111,49,car,0.42,40
111,48,bus,0.35,33
111,61,truck,0.35,34
112,27,car,0.78,18
112,43,car,0.61,26
112,49,car,0.58,37
112,48,bus,0.21,35
112,61,truck,0.39,35
113,27,car,0.59,18
113,43,car,0.64,27
113,49,car,0.62,37
113,48,truck,0.37,30
113,61,bus,0.43,33
114,27,car,0.6,18
114,43,car,0.58,29
114,49,car,0.56,33
114,48,bus,0.33,29
114,61,truck,0.52,32
115,27,car,0.49,15
115,43,car,0.62,28
115,49,car,0.66,40
115,48,truck,0.24,30
115,61,bus,0.6,30
116,27,car,0.39,11
116,43,car,0.64,22
116,49,car,0.75,32
116,48,car,0.4,31
116,61,bus,0.58,31
117,27,car,0.2,12
117,43,car,0.68,26
117,49,car,0.73,35
118,43,car,0.73,22
118,49,car,0.71,30
118,48,bus,0.7,26
119,43,car,0.61,27
119,49,car,0.7,31
119,48,bus,0.67,32
120,43,car,0.68,28
120,49,car,0.75,30
120,48,bus,0.69,26
121,43,car,0.59,23
121,49,car,0.63,33
121,48,bus,0.47,26
122,43,car,0.58,22
122,49,car,0.6,26
122,48,bus,0.79,29
122,66,truck,0.42,0
123,43,car,0.62,19
123,49,car,0.65,28
123,48,bus,0.89,23
124,43,car,0.64,22
124,49,car,0.71,27
124,48,bus,0.87,29
125,43,car,0.6,28
125,49,car,0.74,35
125,48,bus,0.83,28
126,43,car,0.48,25
126,49,car,0.56,31
126,48,bus,0.88,32
126,66,truck,0.38,25
127,43,car,0.38,20
127,49,car,0.59,27
127,48,bus,0.69,22
127,66,truck,0.44,23
128,43,truck,0.51,23
128,49,car,0.67,30
128,48,truck,0.41,22
128,66,car,0.5,20
129,43,car,0.42,21
129,49,car,0.65,25
129,48,bus,0.39,21
129,66,truck,0.21,27
130,43,car,0.46,21
130,49,car,0.69,28
130,48,truck,0.5,21
130,66,truck,0.35,18
131,43,car,0.43,21
131,49,car,0.67,24
131,48,car,0.43,27
131,66,truck,0.31,21
132,49,car,0.66,27
132,48,car,0.42,24
133,49,car,0.49,28
133,48,car,0.53,20
133,43,car,0.53,20
134,49,car,0.47,19
134,48,car,0.4,17
134,43,car,0.45,16
135,49,car,0.56,25
135,48,car,0.34,27
135,43,car,0.43,16
135,70,truck,0.39,0
136,49,car,0.65,26
136,43,car,0.56,23
137,49,car,0.49,20
137,43,truck,0.42,23
138,49,car,0.53,21
138,43,car,0.47,17
138,72,car,0.64,0
139,49,car,0.49,21
139,43,car,0.55,20
139,72,car,0.6,43
140,49,car,0.5,25
140,43,car,0.72,21
140,72,car,0.85,55
141,49,car,0.54,22
141,43,car,0.68,17
141,72,car,0.84,48
142,49,car,0.6,22
142,43,car,0.79,18
142,72,car,0.8,44
143,49,car,0.68,20
143,43,car,0.65,18
143,72,car,0.81,47
144,49,car,0.74,20
144,43,car,0.58,22
144,72,car,0.82,43
145,49,car,0.66,17
145,43,car,0.51,18
145,72,car,0.85,43
146,49,car,0.76,23
146,43,car,0.4,19
146,72,car,0.83,45
147,49,car,0.63,17
147,43,car,0.22,11
147,72,car,0.9,38
147,73,suitcase,0.84,0
148,49,car,0.57,28
148,43,car,0.11,12
148,72,car,0.82,40
148,73,suitcase,0.91,6
149,49,car,0.58,10
149,43,car,0.15,7
149,72,car,0.71,39
149,73,suitcase,0.92,0
150,49,car,0.44,19
150,43,car,0.1,0
150,72,car,0.6,37
150,73,suitcase,0.86,6
151,49,car,0.19,18
151,72,car,0.68,36
151,73,suitcase,0.73,12
152,72,car,0.75,37
152,73,suitcase,0.61,35
153,72,car,0.68,40
153,73,cell phone,0.27,46
154,72,car,0.62,30
154,73,car,0.38,49
155,72,car,0.65,35
155,73,car,0.3,50
156,72,car,0.6,38
156,73,car,0.24,48
157,72,car,0.68,29
157,73,bus,0.66,46
158,72,car,0.63,30
158,73,bus,0.75,45
159,72,car,0.79,30
159,73,bus,0.57,46
160,72,car,0.55,32
160,73,bus,0.69,42
161,72,car,0.52,36
161,73,bus,0.4,42
162,72,car,0.45,36
162,73,truck,0.49,40
162,75,car,0.5,0
162,76,bus,0.49,0
163,72,car,0.62,27
163,73,truck,0.49,38
163,76,bus,0.28,35
164,72,car,0.72,29
164,73,truck,0.58,37
164,76,bus,0.25,41
165,72,car,0.64,26
165,73,bus,0.45,40
165,76,truck,0.43,41
166,72,car,0.73,30
167,72,car,0.77,30
167,73,truck,0.6,34
168,72,car,0.73,28
168,73,truck,0.67,35
169,72,car,0.64,22
169,73,truck,0.69,31
170,72,car,0.67,28
170,73,truck,0.67,31
171,72,car,0.66,23
171,73,truck,0.57,34
172,72,car,0.62,32
172,73,truck,0.78,31
173,72,car,0.73,24
173,73,truck,0.63,33
174,72,car,0.81,21
174,73,car,0.58,31
175,72,car,0.78,24
175,73,car,0.62,30
175,78,truck,0.44,0
176,72,car,0.67,20
176,73,car,0.59,28
176,78,truck,0.51,30
177,72,car,0.72,22
177,73,truck,0.41,29
177,78,car,0.46,31
178,72,car,0.6,28
178,73,truck,0.52,32
178,78,car,0.51,32
179,72,car,0.53,21
180,72,car,0.64,23
180,73,car,0.6,27
181,72,car,0.55,18
181,73,car,0.59,25
182,72,car,0.6,24
182,73,car,0.5,25
183,72,car,0.61,22
183,73,truck,0.46,30
183,79,car,0.44,0
184,72,car,0.43,19
184,73,truck,0.54,26
184,79,car,0.43,23
185,72,car,0.43,22
185,73,car,0.43,24
185,79,truck,0.41,26
186,73,truck,0.5,27
186,79,car,0.43,30
187,73,car,0.32,24
187,79,truck,0.5,24
188,73,car,0.11,25
188,79,truck,0.53,25
190,83,toilet,0.67,0
190,73,truck,0.55,23
191,83,toilet,0.89,4
191,73,truck,0.44,24
192,83,toilet,0.62,1
192,73,car,0.54,27
193,83,toilet,0.27,1
193,73,car,0.46,18
194,83,toilet,0.51,8
194,73,car,0.53,22
195,83,toilet,0.25,7
195,73,car,0.52,15
196,83,toilet,0.13,33
196,73,car,0.57,28
197,83,cell phone,0.6,47
197,73,car,0.59,19
198,83,cell phone,0.89,51
198,73,car,0.63,19
199,83,cell phone,0.62,54
199,73,car,0.65,20
200,83,cell phone,0.95,53
200,73,car,0.6,20
201,83,cell phone,0.89,51
201,73,car,0.77,24
202,83,cell phone,0.7,48
202,73,car,0.75,18
203,83,cell phone,0.55,46
203,73,car,0.67,17
204,83,cell phone,0.89,46
204,73,car,0.78,18
205,83,cell phone,0.7,46
205,73,car,0.76,21
206,83,cell phone,0.56,42
206,73,car,0.75,14
207,83,bus,0.52,40
207,73,car,0.56,18
208,83,bus,0.44,42
208,73,car,0.37,14
209,83,bus,0.54,37
209,73,car,0.26,15
209,89,car,0.42,0
210,83,bus,0.69,41
210,73,car,0.18,16
210,89,car,0.36,35
211,83,bus,0.61,38
211,89,car,0.47,49
212,83,bus,0.59,38
212,89,car,0.61,45
213,83,bus,0.52,35
213,89,car,0.59,40
214,83,bus,0.42,32
214,89,car,0.8,43
215,83,bus,0.62,35
215,89,car,0.8,39
216,83,bus,0.54,30
216,89,car,0.82,37
217,83,bus,0.42,31
217,89,car,0.85,42
217,94,truck,0.38,0
218,83,car,0.5,30
218,89,car,0.88,35
218,94,bus,0.43,28
219,83,truck,0.43,35
219,89,car,0.6,35
219,94,bus,0.66,39
220,89,car,0.82,35
220,94,bus,0.33,36
221,89,car,0.67,27
221,94,bus,0.31,23
222,89,car,0.51,36
222,94,truck,0.38,35
223,89,car,0.48,34
223,94,bus,0.46,31
224,89,car,0.72,33
224,94,bus,0.38,27
225,89,car,0.66,32
225,94,truck,0.68,33
226,89,car,0.66,35
226,94,truck,0.35,26
226,99,bus,0.32,0
227,89,car,0.76,27
228,89,car,0.61,28
228,94,truck,0.7,24
229,89,car,0.62,25
229,94,truck,0.67,22
230,89,car,0.67,33
230,94,truck,0.53,37
231,89,car,0.65,29
231,94,truck,0.54,22
231,100,bus,0.38,0
232,89,car,0.62,26
232,94,truck,0.63,20
232,100,bus,0.31,17
